ENTRY,NAMES,FORMULA,CHARGE,"GROUPS INVOLVED IN COMPOUND STRUCTURE","ESTIMATED ∆fG'°","SE∆fG'°",NOTES,SMILES,chebi_error
351,2-dehydro-3-deoxy-L-pentonate|,C5H7O5,-1,"-COO : 1 | >C=O : 1 | -CH2- : 2 | >CH- : 1 | -OH : 2 | Origin : 1 | OCCO : 1",-183.72,0.44,,OC[C@H](O)CC(=O)C(O)=O,
352,"2,5-dihydro-5-oxofuran-2-acetate|",C6H5O4,-1,"ring -CH< : 1 | ring -O-CO- : 1 | ring =CH- : 2 | -CH2- : 1 | -COO : 1 | Origin : 1 | OCCC : 1",-132.27,1.04,,OC(=O)CC1OC(=O)C=C1,
353,cis-trans-hexadienedioate|,C7H6O4,-2,"=C< : 1 | =CH- : 3 | -CH3 : 1 | -COO : 2 | Origin : 1 | OCCC : 2 | CCCC : 1",-123.67,1.07,,,"no exact name match in CHEBI"
354,N2-D-1-carboxyethyl-L-arginine|,C9H18N4O4,0,">CH- : 2 | -NH2- : 1 | -CH2- : 3 | -COO : 2 | -CH3 : 1 | -NH- : 1 | =C< : 1 | -NH2 : 1 | =NH2 : 1 | Origin : 1",-143.24,1.83,,,"no exact name match in CHEBI"
355,N-acetyl-alpha-D-glucosamine-1-phosphate|N-acetyl-D-glucosamine-1-phosphate|,C8H15NO9P,-1,"ring -CH< : 5 | ring -O- : 1 | -OPO3 : 1 | -OH : 3 | >C=O : 1 | -CH3 : 1 | -CH2- : 1 | amide : 1 | -NH- : 1 | Origin : 1",-425.13,1.61,,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(O)=O,
356,N-acetyl-D-mannosamine-6-phosphate|N-acetyl-D-glucosamine-6-phosphate|,C8H15NO9P,-1,"ring -CH< : 5 | -OH : 3 | ring -O- : 1 | >C=O : 1 | -CH3 : 1 | -CH2- : 1 | -OPO3 : 1 | amide : 1 | -NH- : 1 | Origin : 1",-425.13,1.61,,[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(NC(C)=O)C=O,
357,"dTDP-4-amino-4,6-dideoxy-D-glucose|",C16H26N3O14P2,-1,"ring -CH< : 8 | ring -O- : 2 | ring -CH2- : 1 | ring >C=O : 2 | ring =CH- : 1 | ring =C< : 1 | -CH2- : 1 | -OH : 3 | -CH3 : 2 | -OPO3- : 1 | -OPO2- : 1 | -NH3 : 1 | amide : 2 | ring -N< : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1",-651.64,2.92,,C[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H](C[C@@H]2O)n2cc(C)c(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1N,
358,"2,4-dihydroxybutanoate|",C5H9O4,-1,">CH- : 1 | >C< : 1 | -COO : 1 | -OH : 2 | -CH3 : 2 | Origin : 1",-161.2,0.49,,,"no exact name match in CHEBI"
359,4-methyl-5-2'-hydroxyethyl-thiazole|,C6H9NOS,0,"ring =C< : 2 | -CH2- : 2 | ring -S- : 1 | ring =N- : 1 | -CH3 : 1 | ring =CH- : 1 | -OH : 1 | Origin : 1 | heteroaromatic : 1",-7.11,1.27,,Cc1ncsc1CCO,
360,4-androstene-17beta-ol-3-one|,C19H28O2,0,"two fused rings >CH- : 3 | ring -CH2- : 8 | two fused rings >C< : 2 | two fused rings >C= : 1 | -CH3 : 2 | ring >C=O : 1 | ring =CH- : 1 | ring -CH< : 1 | -OH : 1 | Origin : 1",-23.44,6.87,,,"no exact name match in CHEBI"
361,"R,S-malyl-CoA|",C25H36N7O20P3S,-4,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 3 | ring =C< : 1 | -OPO3 : 1 | -CH2- : 7 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 2 | -CH3 : 2 | >C=O : 3 | -COO : 1 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | heteroaromatic : 2",-900.08,3.56,,,"no exact name match in CHEBI"
362,"beta-3,5-diiodo-4-hydroxyphenyl-lactate|",C9H7O4I2,-1,"aromatic ring =C< : 4 | aromatic ring =CH- : 2 | -CH2- : 1 | >CH- : 1 | aromatic -I : 2 | -COO : 1 | -OH : 2 | Origin : 1",-88.54,2.85,,,"no exact name match in CHEBI"
363,"5alpha-androstane-3alpha,17beta-diol|5alpha-androstane-3beta,17alpha-diol|",C19H32O2,0,"two fused rings >CH- : 4 | ring -CH2- : 9 | two fused rings >C< : 2 | -CH3 : 2 | ring -CH< : 2 | -OH : 2 | Origin : 1",-49.38,7.19,,[H][C@@]12CC[C@@]3([H])[C@]4([H])CC[C@H](O)[C@@]4(C)CC[C@]3([H])[C@@]1(C)CC[C@@H](O)C2,
364,5alpha-androstane-3alpha-ol-17-one|5beta-androstane-3alpha-ol-17-one|,C19H30O2,0,"two fused rings >CH- : 4 | ring -CH2- : 9 | two fused rings >C< : 2 | -CH3 : 2 | ring >C=O : 1 | ring -CH< : 1 | -OH : 1 | Origin : 1",-42.82,7.18,,[H][C@@]12CC[C@@]3([H])[C@]4([H])CCC(=O)[C@@]4(C)CC[C@]3([H])[C@@]1(C)CC[C@@H](O)C2,
365,N-succinyl-2-L-amino-6-oxoheptanedioate|,C11H12NO8,-3,">CH- : 1 | -CH2- : 5 | -COO : 3 | >C=O : 2 | amide : 1 | -NH- : 1 | Origin : 1 | OCCO : 1",-294.26,0.94,,[O-]C(=O)CCC(=O)N[C@@H](CCCC(=O)C([O-])=O)C([O-])=O,
366,6-phospho-2-dehydro-3-deoxy-D-gluconate|2-dehydro-3-deoxy-D-galactonate-6-phosphate|,C6H9O9P,-2,"-OPO3 : 1 | -CH2- : 2 | >CH- : 2 | -OH : 2 | >C=O : 1 | -COO : 1 | Origin : 1 | OCCO : 1",-432.64,0.54,,O[C@H](COP(O)(O)=O)[C@@H](O)CC(=O)C(O)=O,
367,"N-succinyl-L-2,6-diaminoheptanedioate|",C11H16N2O7,-2,">CH- : 2 | -CH2- : 5 | -COO : 3 | >C=O : 1 | -NH3 : 1 | amide : 1 | -NH- : 1 | Origin : 1",-269.49,0.92,,N[C@@H](CCC[C@H](NC(=O)CCC(O)=O)C(O)=O)C(O)=O,
368,--4-carboxymethyl-delta-alpha-but-2-en-4-olide|,C7H7O4,-1,"ring >C< : 1 | ring -O-CO- : 1 | ring =CH- : 2 | -CH2- : 1 | -CH3 : 1 | -COO : 1 | Origin : 1 | OCCC : 1",-133.59,1.11,,,"no exact name match in CHEBI"
369,15-oxo-prostaglandin-E1|,C20H31O5,-1,"ring -CH< : 3 | ring >C=O : 1 | -CH2- : 10 | =CH- : 2 | ring -CH2- : 1 | -OH : 1 | >C=O : 1 | -COO : 1 | -CH3 : 1 | Origin : 1 | OCCC : 1",-128.8,1.3,,,"no exact name match in CHEBI"
370,15-oxo-prostaglandin-E2|,C20H29O5,-1,"ring -CH< : 3 | ring >C=O : 1 | -CH2- : 8 | =CH- : 4 | ring -CH2- : 1 | -OH : 1 | >C=O : 1 | -COO : 1 | -CH3 : 1 | Origin : 1 | OCCC : 1",-106.44,1.46,,,"no exact name match in CHEBI"
371,5-amino-1-beta-D-ribosyl-4-imidazolecarboxamide-5'-phosphate|,C9H14N4O8P,-1,"ring -N< : 1 | ring -CH< : 4 | ring =C< : 2 | ring =CH- : 1 | ring -O- : 1 | -NH2 : 2 | ring =N- : 1 | -OH : 2 | >C=O : 1 | -CH2- : 1 | -OPO3 : 1 | amide : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 1",-336.61,1.93,,,"no exact name match in CHEBI"
372,3S-3-hydroxyhexanoyl-CoA|S-3-hydroxyhexanoyl-CoA|,C27H43N7O18P3S,-3,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 3 | ring =C< : 1 | -OPO3 : 1 | -CH2- : 9 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 2 | -CH3 : 3 | >C=O : 3 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | heteroaromatic : 2",-817.39,3.6,,CCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12,
373,3-oxohexanoyl-CoA|,C27H41N7O18P3S,-3,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -OPO3 : 1 | -CH2- : 9 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 3 | >C=O : 4 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | heteroaromatic : 2",-809.37,3.61,,CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12,
374,cis-hex-2-enoyl-CoA|trans-hex-2-enoyl-CoA|,C27H41N7O17P3S,-3,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -OPO3 : 1 | -CH2- : 8 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 3 | >C=O : 3 | =CH- : 2 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 2",-758.54,3.61,,CCC\C=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12,
375,sedoheptulose-7-phosphate|,C7H14O10P,-1,">CH- : 4 | -OH : 5 | >C=O : 1 | -CH2- : 2 | -OPO3 : 1 | Origin : 1",-466.34,0.93,,,"no exact name match in CHEBI"
376,"5alpha-pregnane-17alpha,21-diol-3,11,20-trione|5beta-pregnane-17alpha,21-diol-3,11,20-trione|",C21H30O5,0,"two fused rings >CH- : 4 | two fused rings >C< : 2 | ring -CH2- : 8 | ring >C< : 1 | -CH3 : 2 | ring >C=O : 2 | >C=O : 1 | -OH : 2 | -CH2- : 1 | Origin : 1",-142.05,7.14,,[H][C@]12CC[C@@]3([H])[C@]4([H])CC[C@](O)(C(=O)CO)[C@@]4(C)CC(=O)[C@]3([H])[C@@]1(C)CCC(=O)C2,
377,"5alpha-pregnane-3beta,17alpha,21-triol-11,20-dione|5beta-pregnane-3alpha,17alpha,21-triol-11,20-dione|",C21H32O5,0,"two fused rings >CH- : 4 | two fused rings >C< : 2 | ring -CH2- : 8 | ring >C< : 1 | -CH3 : 2 | ring >C=O : 1 | >C=O : 1 | -OH : 3 | -CH2- : 1 | ring -CH< : 1 | Origin : 1",-148.61,7.13,,,"no exact name match in CHEBI"
378,"5alpha-pregnane-3alpha,17alpha,21-triol-20-one|5alpha-pregnane-3beta,17alpha,21-triol-20-one|5beta-pregnane-3alpha,17alpha,21-triol-20-one|5beta-pregnane-3beta,17alpha,21-triol-20-one|",C21H34O4,0,"two fused rings >CH- : 4 | two fused rings >C< : 2 | ring -CH2- : 9 | ring >C< : 1 | -CH3 : 2 | >C=O : 1 | -OH : 3 | -CH2- : 1 | ring -CH< : 1 | Origin : 1",-115.33,7.2,,,"no exact name match in CHEBI"
379,"5alpha-pregnane-17alpha,21-diol-3,20-dione|5beta-pregnane-17alpha,21-diol-3,20-dione|",C21H32O4,0,"two fused rings >CH- : 4 | two fused rings >C< : 2 | ring -CH2- : 9 | ring >C< : 1 | -CH3 : 2 | >C=O : 1 | -OH : 2 | -CH2- : 1 | ring >C=O : 1 | Origin : 1",-108.77,7.2,,,"no exact name match in CHEBI"
380,2'-deoxyinosine|,C10H12N4O4,0,"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 3 | ring =CH- : 2 | ring =N- : 2 | ring -O- : 1 | ring -CH2- : 1 | ring >C=O : 1 | -CH2- : 1 | -OH : 2 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",-61.24,2.69,,OC[C@H]1O[C@H](C[C@@H]1O)n1cnc2c1nc[nH]c2=O,
381,2-oxoadipate|,C6H6O5,-2,"-CH2- : 3 | >C=O : 1 | -COO : 2 | Origin : 1 | OCCO : 1",-187.28,0.43,,[O-]C(=O)CCCC(=O)C([O-])=O,
382,amoxicillin|,C16H18N3O5S,-1,"two fused rings -N< : 1 | two fused rings >CH- : 1 | ring -CH< : 2 | ring >C=O : 1 | ring -S- : 1 | ring >C< : 1 | -COO : 1 | -CH3 : 2 | >C=O : 1 | aromatic ring =C< : 2 | aromatic ring =CH- : 4 | >CH- : 1 | -NH2 : 1 | -OH : 1 | amide : 1 | -NH- : 1 | Origin : 1",-120.89,2.03,,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)c1ccc(O)cc1)C(O)=O,
383,cytidine-3'-monophosphate|,C9H13N3O8P,-1,"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 1 | ring =CH- : 2 | -OH : 2 | ring =N- : 1 | -OPO3 : 1 | -CH2- : 1 | ring =C< : 1 | -NH2 : 1 | amide : 1 | ring -N< : 1 | Origin : 1 | OCNC : 1 | CCCN : 1",-345.38,1.92,,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@H]2O)c(=O)n1,
384,Nomega-phospho-L-arginine|phospho-L-arginine|,C6H14N4O5P,-1,"=C< : 1 | -NH- : 2 | =NH2 : 1 | -CH2- : 3 | -OPO2 : 1 | >CH- : 1 | -COO : 1 | -NH3 : 1 | Origin : 1",-270.31,1.82,,N[C@@H](CCCNC(=N)NP(O)(O)=O)C(O)=O,
385,2-hydroxybutanoate|,C4H7O3,-1,">CH- : 1 | -COO : 1 | -CH2- : 1 | -OH : 1 | -CH3 : 1 | Origin : 1",-121.55,0.27,,,"no exact name match in CHEBI"
386,n-butanol|,C4H10O,0,"-CH2- : 3 | -CH3 : 1 | -OH : 1 | Origin : 1",-40.29,0.31,,,"no exact name match in CHEBI"
387,D-glucosamine-1-phosphate|,C6H14NO8P,0,"ring -CH< : 5 | ring -O- : 1 | -OPO3 : 1 | -NH3 : 1 | -CH2- : 1 | -OH : 3 | Origin : 1",-395.53,1.48,,,"no exact name match in CHEBI"
388,2-dehydro-3-deoxy-D-fuconate|,C6H9O5,-1,">CH- : 2 | -CH2- : 1 | -OH : 2 | -CH3 : 1 | >C=O : 1 | -COO : 1 | Origin : 1 | OCCO : 1",-183.91,0.5,,,"no exact name match in CHEBI"
389,"2,6-beta-D-fructosyl-n|",C18H32O16,0,"ring >C< : 3 | ring -O- : 3 | ring -CH< : 9 | -O- : 2 | -CH2- : 6 | -OH : 11 | Origin : 1",-537.91,3.94,,,
390,2-oxo-4-hydroxybutanoate|,C5H7O4,-1,">C=O : 1 | >C< : 1 | -COO : 1 | -CH3 : 2 | -OH : 1 | Origin : 1 | OCCO : 1",-150.72,0.48,,,"no exact name match in CHEBI"
391,"cyclohexa-1,5-diene-1-carboxyl-CoA|",C28H39N7O17P3S,-3,"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 5 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 2 | -CH2- : 6 | -OPO3 : 1 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 2 | >C=O : 3 | ring -CH2- : 2 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | OCCC : 1 | CCCC : 1 | heteroaromatic : 2",-745.11,3.89,,,"no exact name match in CHEBI"
392,D-psicose|L-sorbose|D-tagatose|,C6H12O6,0,"ring >C< : 1 | ring -CH< : 3 | ring -O- : 1 | -CH2- : 1 | -OH : 5 | ring -CH2- : 1 | Origin : 1",-217.61,1.37,,[H][C@@](O)(CO)[C@@]([H])(O)[C@@]([H])(O)C(=O)CO,
393,6-hydroxycyclohex-1-ene-carboxyl-CoA|,C28H41N7O18P3S,-3,"ring -N< : 1 | ring -CH< : 5 | two fused rings >C= : 2 | ring =CH- : 3 | ring -O- : 1 | ring =N- : 3 | -OH : 3 | ring =C< : 2 | -OPO3 : 1 | -CH2- : 6 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 2 | >C=O : 3 | ring -CH2- : 3 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 2",-790.69,3.79,,,"no exact name match in CHEBI"
394,D-sedoheptulose|,C7H14O7,0,"ring >C< : 1 | ring -O- : 1 | ring -CH< : 4 | -CH2- : 2 | -OH : 6 | Origin : 1",-255.83,1.53,,,"no exact name match in CHEBI"
395,"2',4,4'-trihydroxychalcone|",C15H12O4,0,"aromatic ring =C< : 5 | >C=O : 1 | aromatic ring =CH- : 7 | =CH- : 2 | -OH : 3 | Origin : 1 | OCCC : 2 | CCCC : 1",-65.96,2.06,,Oc1ccc(cc1)\C=C\C(=O)c1ccc(O)cc1O,
396,"2S-4',7-dihydroxyflavanone|",C15H12O4,0,"aromatic ring fused to nonaromatic ring >C=  : 2 | ring -O- : 1 | aromatic ring =CH- : 7 | ring >C=O : 1 | ring -CH< : 1 | aromatic ring =C< : 3 | ring -CH2- : 1 | -OH : 2 | Origin : 1 | OCCC : 1",-74.33,2.11,,,"no exact name match in CHEBI"
397,D-arabino-3-hexulose-6-phosphate|,C6H12O9P,-1,">CH- : 3 | >C=O : 1 | -OH : 4 | -CH2- : 2 | -OPO3 : 1 | Origin : 1",-429.92,0.74,,,"no exact name match in CHEBI"
398,2-amino-2-deoxyisochorismate|,C10H10NO5,-1,"ring -CH< : 2 | ring =CH- : 3 | -O- : 1 | ring =C< : 1 | =C< : 1 | -COO : 2 | =CH2 : 1 | -NH3 : 1 | Origin : 1 | OCCC : 2 | CCCC : 1",-134.24,1.42,,,"no exact name match in CHEBI"
399,hco3|bicarbonate|,CHO3,-1,"HCO3 : 1",-140.26,0.5,,OC([O-])=O,
400,propanal|,C3H6O,0,"-CH3 : 1 | -CH2- : 1 | -CH=O : 1 | Origin : 1",-32.43,0.22,,CCC=O,
401,D-glycero-D-glucoheptitol|,C7H16O7,0,"-CH2- : 2 | >CH- : 5 | -OH : 7 | Origin : 1",-261.86,1.18,,,"no exact name match in CHEBI"
402,L-threitol|,C4H10O4,0,"-OH : 4 | -CH2- : 2 | >CH- : 2 | Origin : 1",-152.6,0.62,,OC[C@H](O)[C@@H](O)CO,
403,indophenol|,C12H9NO2,0,"ring =CH- : 4 | ring >C= : 1 | aromatic ring =C< : 2 | aromatic ring =CH- : 4 | =N- : 1 | -OH : 1 | ring >C=O : 1 | Origin : 1 | OCCC : 2 | CCCN : 2 | CCNC : 1",30.38,4.36,,,"no exact name match in CHEBI"
404,reduced-indophenol|,C12H11NO2,0,"ring =CH- : 4 | ring -CH< : 1 | aromatic ring =C< : 2 | aromatic ring =CH- : 4 | -NH- : 1 | -OH : 1 | ring >C=O : 1 | Origin : 1 | OCCC : 2",8.1,1.65,,,"no exact name match in CHEBI"
405,pyocyanine|,C13H10N2O,0,"two fused rings >C= : 2 | ring -N< : 1 | ring =CH- : 3 | ring =N- : 1 | ring >C=O : 1 | aromatic ring fused to nonaromatic ring >C=  : 2 | -CH3 : 1 | aromatic ring =CH- : 4 | Origin : 1 | OCCC : 1 | OCCN : 1 | CCCN : 1 | CCNC : 1 | CCCC : 1",69.88,2.76,,,"no exact name match in CHEBI"
406,oxonic-acid|,C4H2N3O4,-1,"ring >C=O : 2 | ring =C< : 1 | -COO : 1 | ring =N- : 1 | amide : 2 | ring -NH- : 2 | Origin : 1 | OCCN : 1 | OCNC : 1",-146.69,1.66,,OC(=O)c1nc(=O)[nH]c(=O)[nH]1,
407,dihydroxonic-acid|,C4H4N3O4,-1,"ring >C=O : 2 | ring -CH< : 1 | -COO : 1 | amide : 3 | ring -NH- : 3 | Origin : 1",-162.82,2.01,,,"no exact name match in CHEBI"
408,2-methyliminodiacetate|,C5H8NO4,-1,"-COO : 2 | -CH2- : 2 | -CH3 : 1 | -NH< : 1 | Origin : 1",-151.11,1.21,,,"no exact name match in CHEBI"
409,oxidized-thiocyanate|,CNOS,-1,"≡N : 1 | ≡C- : 1 | -S-OH : 1 | Origin : 1",41.9,5.99,,,"no exact name match in CHEBI"
410,CH2-H4PteGlu4|,C35H39N10O15,-5,"aromatic ring =CH- : 4 | aromatic ring =C< : 2 | ring -CH2- : 3 | two fused rings >CH- : 1 | two fused rings >C= : 2 | ring -N< : 1 | two fused rings -N< : 1 | ring -NH- : 1 | ring =N- : 2 | ring =C< : 2 | -NH2 : 1 | -OH : 1 | >C=O : 4 | -COO : 5 | >CH- : 4 | -CH2- : 8 | amide : 4 | -NH- : 4 | Origin : 1 | OCCC : 1 | heteroaromatic : 1",-402.4,4.11,,,"no exact name match in CHEBI"
411,H4PteGlu4|,C34H39N10O15,-5,"aromatic ring =CH- : 4 | aromatic ring =C< : 2 | -CH2- : 9 | ring -CH< : 1 | ring -CH2- : 1 | two fused rings >C= : 2 | -NH- : 5 | ring -NH- : 3 | ring =N- : 1 | ring =C< : 1 | -NH2 : 1 | ring >C=O : 1 | >C=O : 4 | -COO : 5 | >CH- : 4 | amide : 4 | Origin : 1 | OCCC : 2 | OCNC : 1",-420.61,4.22,,,"no exact name match in CHEBI"
412,aniline|,C6H7N,0,"aromatic ring =CH- : 5 | aromatic ring =C< : 1 | -NH2 : 1 | Origin : 1",33.64,0.84,,Nc1ccccc1,
413,acetylcholine|,C7H16NO2,1,"-CH3 : 4 | >N< : 1 | -CH2- : 2 | -O-CO- : 1 | Origin : 1",-25.26,2.03,,CC(=O)OCC[N+](C)(C)C,
414,L-butyrylcarnitine|,C11H21NO4,0,"-CH2- : 4 | >N< : 1 | >CH- : 1 | -CH3 : 4 | -COO : 1 | -O-CO- : 1 | Origin : 1",-100.04,2.06,,,"no exact name match in CHEBI"
415,cyclomaltohexaose|,C36H60O30,0,"ring -CH< : 30 | -O- : 6 | ring -O- : 6 | -CH2- : 6 | -OH : 18 | Origin : 1",-950.88,9.09,,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,
416,Gu-6|,C48H82O41,0,"ring -CH< : 40 | -OH : 26 | ring -O- : 8 | -CH2- : 8 | -O- : 7 | Origin : 1",-1327.64,12.09,,,"no exact name match in CHEBI"
417,cyclomaltoheptaose|,C42H70O35,0,"ring -CH< : 35 | -O- : 7 | ring -O- : 7 | -CH2- : 7 | -OH : 21 | Origin : 1",-1109.36,10.61,,,"no exact name match in CHEBI"
418,Gv-7|,C42H72O36,0,"ring -CH< : 35 | -OH : 23 | ring -O- : 7 | -CH2- : 7 | -O- : 6 | Origin : 1",-1169.16,10.57,,,"no exact name match in CHEBI"
419,Gw|Gu|Gv|,C84H142O71,0,"ring -CH< : 70 | -OH : 44 | ring -O- : 14 | -CH2- : 14 | -O- : 13 | Origin : 1",-2278.52,21.18,,NC(N)=N,
420,cyclomaltooctaose|,C48H80O40,0,"ring -CH< : 40 | -O- : 8 | ring -O- : 8 | -CH2- : 8 | -OH : 24 | Origin : 1",-1267.84,12.12,,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@@H]9[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,
421,Gw-8|,C36H62O31,0,"ring -CH< : 30 | -OH : 20 | ring -O- : 6 | -CH2- : 6 | -O- : 5 | Origin : 1",-1010.68,9.06,,,"no exact name match in CHEBI"
422,laminaritetraose|beta-laminaritetraose|,C24H42O21,0,"ring -CH< : 15 | -O- : 3 | ring -O- : 3 | -CH2- : 4 | -OH : 14 | -CH=O : 1 | >CH- : 4 | Origin : 1",-691.4,4.79,,,"no exact name match in CHEBI"
423,laminaritriose|beta-laminaritriose|,C18H32O16,0,"-OH : 11 | ring -CH< : 10 | -O- : 2 | ring -O- : 2 | -CH2- : 3 | -CH=O : 1 | >CH- : 4 | Origin : 1",-532.92,3.31,,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)C(O)O[C@H](CO)[C@H]3O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,
424,Z-phosphoenolbutyrate|,C4H5O6P,-2,"-COO : 1 | =CH- : 1 | -CH3 : 1 | =C< : 1 | -OPO3 : 1 | Origin : 1 | OCCC : 1",-313.8,0.57,,,"no exact name match in CHEBI"
425,Z-enolbutyryl-UDP-N-acetylglucosamine|,C21H28N3O19P2,-3,"ring -CH< : 9 | ring -O- : 2 | ring >C=O : 2 | ring =CH- : 2 | -OH : 4 | -CH2- : 2 | -OPO3- : 1 | -OPO2- : 1 | >C=O : 1 | -CH3 : 2 | -COO : 1 | =CH- : 1 | =C< : 1 | -O- : 1 | amide : 3 | ring -N< : 1 | ring -NH- : 1 | -NH- : 1 | Origin : 1 | OCCC : 2",-798.4,3.31,,,"no exact name match in CHEBI"
426,ethyl-E-2-octenoate|,C10H18O2,0,"-CH3 : 2 | -CH2- : 5 | =CH- : 2 | -O-CO- : 1 | Origin : 1 | OCCC : 1",-50.45,0.84,,,"no exact name match in CHEBI"
427,glutathione-derivative-of-ethyl-E-2-octenoate|,C20H34N3O8S,-1,">CH- : 3 | >C=O : 2 | -CH2- : 10 | -S- : 1 | -COO : 2 | -NH3 : 1 | -CH3 : 2 | -O-CO- : 1 | amide : 2 | -NH- : 2 | Origin : 1",-279.24,1.88,,,"no exact name match in CHEBI"
428,methyl-E-2-octenoate|,C9H16O2,0,"-CH3 : 2 | -CH2- : 4 | =CH- : 2 | -O-CO- : 1 | Origin : 1 | OCCC : 1",-52.07,0.8,,,"no exact name match in CHEBI"
429,glutathione-derivative-of-methyl-E-2-octenoate|,C19H32N3O8S,-1,">CH- : 3 | >C=O : 2 | -CH2- : 9 | -S- : 1 | -COO : 2 | -NH3 : 1 | -CH3 : 2 | -O-CO- : 1 | amide : 2 | -NH- : 2 | Origin : 1",-280.86,1.84,,,"no exact name match in CHEBI"
430,E-3-nonen-2-one|,C9H16O,0,"-CH3 : 2 | >C=O : 1 | =CH- : 2 | -CH2- : 4 | Origin : 1 | OCCC : 1",-5.17,0.7,,,"no exact name match in CHEBI"
